iter	F1	Logloss
0	0.541367286	0.6338697318
1	0.5802809971	0.5868952089
2	0.5969139888	0.5501764041
3	0.5912456705	0.5205562963
4	0.5924096965	0.496135773
5	0.5944133506	0.4759995727
6	0.5902787687	0.459057511
7	0.5961852878	0.446424497
8	0.5945383866	0.4362467099
9	0.6040557004	0.4256853935
10	0.6057275626	0.4162946832
11	0.6067022273	0.40902617
12	0.6147105713	0.4011834533
13	0.6133177037	0.395541453
14	0.614173725	0.3901003504
15	0.6362488817	0.3852233996
16	0.6324170831	0.3811876631
17	0.6347893862	0.3770345792
18	0.6312355126	0.3735748342
19	0.6345531861	0.3705579899
20	0.6362668512	0.3672638936
21	0.6373221784	0.3645981562
22	0.6475021695	0.3620552563
23	0.6492007785	0.359590169
24	0.6506846936	0.3571082951
25	0.6499063854	0.3547334753
26	0.6545303181	0.3523771778
27	0.6560557322	0.3503670429
28	0.664728728	0.3472883625
29	0.6650420939	0.3445324905
30	0.6674584753	0.3427621255
31	0.6692704688	0.3410002724
32	0.6723915397	0.3393705784
33	0.6767059853	0.3374940432
34	0.6829926655	0.3353667489
35	0.6840106536	0.3339191182
36	0.6850019741	0.3318305908
37	0.6852733592	0.330289719
38	0.6868698516	0.3285839846
39	0.6885755173	0.3270284384
40	0.6913405305	0.325552253
41	0.6931719584	0.3242581958
42	0.6940810991	0.3230165174
43	0.6970264277	0.3218771804
44	0.6977370392	0.3205009063
45	0.6987464849	0.3192416808
46	0.6994123064	0.3180085192
47	0.6998593952	0.3170297095
48	0.7011868754	0.3153286349
49	0.7029449366	0.3142116493
50	0.7042407967	0.3130023383
51	0.7059816569	0.3121274186
52	0.706609284	0.3111937808
53	0.7092142005	0.3101674814
54	0.7093239012	0.3093272658
55	0.7118569826	0.308423452
56	0.7119411247	0.3075150948
57	0.7127251898	0.3066311078
58	0.7130252355	0.3055978136
59	0.7175559274	0.3042562633
60	0.7181649056	0.3035856998
61	0.7185123274	0.3028374502
62	0.7202188252	0.3019980933
63	0.7210140799	0.3012433852
64	0.7225388047	0.3001311664
65	0.7235893599	0.2992999031
66	0.7245159929	0.2982882782
67	0.7256435451	0.2975912876
68	0.7289580393	0.2967899124
69	0.7292875522	0.2961658621
70	0.731212261	0.2955594951
71	0.7313813595	0.2947863233
72	0.7327211104	0.2938873473
73	0.7337672159	0.2932326109
74	0.7361229245	0.2925720777
75	0.7361745307	0.2920221117
76	0.7366751401	0.291327376
77	0.7373034513	0.290723582
78	0.7383537082	0.2900155045
79	0.738468998	0.2894480824
80	0.7393417468	0.2887772492
81	0.7421308097	0.2878827092
82	0.7430193535	0.2872871889
83	0.7437928552	0.286903048
84	0.7441856059	0.2862447789
85	0.7455511869	0.2856054742
86	0.7467499358	0.2849850288
87	0.7473291809	0.2844611293
88	0.7479202421	0.2836858108
89	0.7488627792	0.2831130954
90	0.7494402635	0.2825231674
91	0.74981601	0.2821160636
92	0.7520314982	0.2815246739
93	0.7528674365	0.2809510861
94	0.7529424768	0.2805290547
95	0.7534782445	0.2799945584
96	0.7539639024	0.2794380575
97	0.7547601563	0.2789262442
98	0.7552827928	0.2785068987
99	0.7559265113	0.2779924121
100	0.7564833613	0.2775504187
101	0.757028372	0.2771435875
102	0.7585495075	0.2766991885
103	0.7595825712	0.276025967
104	0.7606367407	0.2754586198
105	0.7608661286	0.2750382939
106	0.7610699043	0.2744765561
