iter	Passed	Remaining
0	3966	4058118
1	4801	2453638
2	5313	1808400
3	5798	1478564
4	6339	1291969
5	6774	1149361
6	7211	1047695
7	7734	982238
8	8145	918671
9	8609	873014
10	9114	839384
11	9515	802507
12	9999	777690
13	10517	758748
14	10951	736671
15	11364	715942
16	11757	696439
17	12186	681084
18	12570	664929
19	12981	651692
20	13382	639167
21	13763	626867
22	14165	616520
23	14557	606576
24	14974	598400
25	15392	590841
26	15839	584894
27	16270	578748
28	16652	571361
29	17055	565091
30	17455	559133
31	17863	553771
32	18292	549336
33	18679	543898
34	19070	538874
35	19467	534281
36	19894	530694
37	20279	526190
38	20674	522153
39	21052	517887
40	21438	514003
41	21829	510392
42	22236	507293
43	22625	503927
44	23035	501154
45	23432	498194
46	23811	494982
47	24198	492032
48	24585	489192
49	24980	486618
50	25371	484045
51	25806	482379
52	26327	482345
53	26837	482078
54	27359	482029
55	27845	481326
56	28280	479784
57	28722	478380
58	29119	476268
59	29488	473779
60	29865	471478
61	30256	469458
62	30629	467225
63	31024	465360
64	31420	463567
65	31804	461651
66	32194	459859
67	32574	457965
68	32946	455992
69	33342	454409
70	33720	452615
71	34093	450793
72	34475	449120
73	34853	447444
74	35297	446636
75	35712	445466
76	36116	444186
77	36496	442636
78	36894	441337
79	37354	440783
80	37801	440088
81	38231	439193
82	38608	437719
83	39055	437044
84	39458	435902
85	39840	434543
86	40233	433319
87	40623	432085
88	40994	430669
89	41393	429572
90	41804	428607
91	42185	427359
92	42556	426026
93	42926	424693
94	43297	423401
95	43682	422262
96	44058	421056
97	44459	420096
98	44835	418920
99	45217	417810
100	45636	417054
101	46017	415961
102	46391	414819
103	46767	413714
104	47146	412641
105	47552	411819
106	47997	411341
107	48389	410413
108	48762	409338
109	49144	408343
110	49515	407277
111	49899	406323
112	50294	405469
113	50676	404520
114	51061	403605
115	51458	402798
116	51832	401811
117	52208	400852
118	52599	400023
119	52977	399097
120	53357	398198
121	53777	397600
122	54198	397013
123	54593	396243
124	54966	395317
125	55356	394526
126	55807	394167
127	56227	393590
128	56621	392841
129	57022	392139
130	57412	391366
131	57789	390518
132	58192	389845
133	58593	389168
134	58963	388284
135	59334	387420
136	59825	387336
137	60198	386492
138	60569	385640
139	60944	384818
140	61317	383993
141	61724	383386
142	62122	382726
143	62501	381954
144	62880	381187
145	63245	380340
146	63611	379503
147	64009	378869
148	64389	378125
149	64785	377483
150	65177	376820
151	65577	376205
152	66008	375771
153	66432	375303
154	66833	374697
155	67215	373992
156	67596	373287
157	68021	372826
158	68410	372168
159	68780	371415
160	69173	370785
161	69547	370062
162	69917	369316
163	70290	368596
164	70684	367987
165	71076	367372
166	71465	366743
167	71835	366020
168	72217	365359
169	72628	364851
170	73011	364202
171	73406	363618
172	73802	363039
173	74187	362408
174	74553	361692
175	74917	360967
176	75286	360269
177	75672	359657
178	76077	359138
179	76509	358744
